participant,block,trial,stim_pos,correct_key,response,rt,accuracy,score
001,1,1.0,1.0,s,s,0.7586459999438375,1.0,127.0
001,1,2.0,2.0,d,d,0.48282269993796945,1.0,142.0
001,1,3.0,1.0,s,s,0.3808769000461325,1.0,158.0
001,1,4.0,2.0,d,d,0.3781413999386132,1.0,174.0
001,1,5.0,3.0,f,f,0.48709640000015497,1.0,189.0
001,1,6.0,2.0,d,d,0.5297403000295162,1.0,203.0
001,1,7.0,0.0,a,a,0.4495145999826491,1.0,218.0
001,1,8.0,1.0,s,s,0.5143577000126243,1.0,232.0
001,1,9.0,1.0,s,s,0.3768059000140056,1.0,248.0
001,1,10.0,2.0,d,d,0.4381697999779135,1.0,263.0
001,1,11.0,3.0,f,f,0.38198060006834567,1.0,279.0
001,1,12.0,0.0,a,a,0.49123849999159575,1.0,294.0
001,1,13.0,3.0,f,f,0.46265530004166067,1.0,309.0
001,1,14.0,0.0,a,a,0.38721229997463524,1.0,325.0
001,1,15.0,0.0,a,a,0.3404461999889463,1.0,341.0
001,1,16.0,1.0,s,s,0.40018170000985265,1.0,356.0
001,1,17.0,3.0,f,f,0.36392609996255487,1.0,372.0
001,1,18.0,1.0,s,s,0.38267500000074506,1.0,388.0
001,1,19.0,2.0,d,d,0.6304504000581801,1.0,401.0
001,1,20.0,3.0,f,f,0.4291539000114426,1.0,416.0
001,1,21.0,3.0,f,f,0.40733029996044934,1.0,431.0
001,1,22.0,2.0,d,d,0.5682450999738649,1.0,445.0
001,1,23.0,0.0,a,a,0.4909272000659257,1.0,460.0
001,1,24.0,0.0,a,a,0.5502739000367001,1.0,474.0
001,1,25.0,3.0,f,f,0.4345271000638604,1.0,489.0
001,1,26.0,1.0,s,s,0.5101188999833539,1.0,503.0
001,1,27.0,1.0,s,s,0.43454100005328655,1.0,518.0
001,1,28.0,3.0,f,f,0.3831540000392124,1.0,534.0
001,1,29.0,0.0,a,a,0.41660779993981123,1.0,549.0
001,1,30.0,3.0,f,f,0.44495769997593015,1.0,564.0
001,1,31.0,0.0,a,a,0.4017179000657052,1.0,579.0
001,1,32.0,3.0,f,f,0.34315879992209375,1.0,595.0
001,1,33.0,0.0,a,a,0.330138299963437,1.0,611.0
001,1,34.0,2.0,d,d,0.6501567999366671,1.0,624.0
001,1,35.0,0.0,a,a,0.38661789998877794,1.0,640.0
001,1,36.0,2.0,d,d,0.6027089999988675,1.0,653.0
001,1,37.0,1.0,s,s,0.5004680000711232,1.0,667.0
001,1,38.0,1.0,s,s,0.444693100056611,1.0,682.0
001,1,39.0,0.0,a,a,0.3960587999317795,1.0,698.0
001,1,40.0,3.0,f,f,0.3943124000215903,1.0,714.0
001,1,41.0,2.0,d,d,0.5923685999587178,1.0,728.0
001,1,42.0,1.0,s,s,0.34976140002254397,1.0,744.0
001,1,43.0,2.0,d,d,0.5670059999683872,1.0,758.0
001,1,44.0,3.0,f,f,0.37747559999115765,1.0,774.0
001,1,45.0,1.0,s,s,0.61020659992937,1.0,787.0
001,1,46.0,3.0,f,f,0.45309789991006255,1.0,802.0
001,1,47.0,0.0,a,a,0.3494726999197155,1.0,818.0
001,1,48.0,1.0,s,s,0.6288649999769405,1.0,831.0
001,2,1.0,0.0,a,a,0.5352745000272989,1.0,845.0
001,2,2.0,2.0,d,d,0.7757118000881746,1.0,857.0
001,2,3.0,3.0,f,f,0.40371400001458824,1.0,872.0
001,2,4.0,1.0,s,s,0.3232124999631196,1.0,888.0
001,2,5.0,0.0,a,a,0.5026957000372931,1.0,902.0
001,2,6.0,3.0,f,f,0.39412309997715056,1.0,918.0
001,2,7.0,2.0,d,d,0.38475389999803156,1.0,934.0
001,2,8.0,1.0,s,s,0.547615599934943,1.0,948.0
001,2,9.0,3.0,f,f,0.39995889994315803,1.0,964.0
001,2,10.0,0.0,a,a,0.36123810010030866,1.0,980.0
001,2,11.0,1.0,s,s,0.3716169000836089,1.0,996.0
001,2,12.0,2.0,d,d,0.32765859994105995,1.0,1012.0
001,2,13.0,0.0,a,a,0.3826972000533715,1.0,1028.0
001,2,14.0,2.0,d,f,0.4487068000016734,0.0,1028.0
001,2,15.0,3.0,f,f,0.7006363999098539,1.0,1040.0
001,2,16.0,1.0,s,s,0.39632090006489307,1.0,1056.0
001,2,17.0,0.0,a,a,0.4485301999375224,1.0,1071.0
001,2,18.0,3.0,f,f,0.4251333000138402,1.0,1086.0
001,2,19.0,2.0,d,d,0.4094423999777064,1.0,1101.0
001,2,20.0,1.0,s,s,0.3943573000142351,1.0,1117.0
001,2,21.0,3.0,f,f,0.4325520000420511,1.0,1132.0
001,2,22.0,0.0,a,a,0.30522159999236465,1.0,1148.0
001,2,23.0,1.0,s,s,0.38833949994295835,1.0,1164.0
001,2,24.0,2.0,d,d,0.31703600008040667,1.0,1180.0
